Id;Level;Name;FileName
1;1;;trample.png
2;1;;eye-for-an-eye.png
3;1;;sweeping-blow.png
4;1;;provoking-roar.png
5;1;;overwhelming-assault.png
6;1;;grab-and-go.png
7;1;;warding-strength.png
8;1;;shield-bash.png
9;1;;leaping-cleave.png
10;1;;spare-dagger.png
11;X;;skewer.png
12;X;;balanced-measure.png
13;X;;wall-of-doom.png
14;2;;fatal-advance.png
15;2;;juggernaut.png
16;3;;hook-and-chain.png
17;3;;brute-force.png
18;4;;unstoppable-charge.png
19;4;;devastating-hack.png
20;5;;whirlwind.png
21;5;;skirmishing-maneuver.png
22;6;;quietus.png
23;6;;immovable-phalanx.png
24;7;;defensive-tactics.png
25;7;;crippling-offensive.png
26;8;;frenzied-onslaught.png
27;8;;selfish-retribution.png
28;9;;king-of-the-hill.png
29;9;;face-your-end.png
30;1;;proximity-mine.png
31;1;;harmless-contraption.png
32;1;;flamethrower.png
33;1;;hook-gun.png
34;1;;ink-bomb.png
35;1;;net-shooter.png
36;1;;stun-shot.png
37;1;;reinvigorating-elixir.png
38;1;;restorative-mist.png
39;1;;energizing-tonic.png
40;1;;enhancement-field.png
41;1;;toxic-bolt.png
42;X;;reviving-shock.png
43;X;;volatile-concoction.png
44;X;;potent-potables.png
45;2;;stamina-booster.png
46;2;;disorienting-flash.png
47;3;;tinkerers-tools.png
48;3;;crank-bow.png
49;4;;dangerous-contraption.png
50;4;;micro-bots.png
51;5;;noxious-vials.png
52;5;;disintegration-beam.png
53;6;;gas-canister.png
54;6;;auto-turret.png
55;7;;murderous-contraption.png
56;7;;curative-aerosol.png
57;8;;jet-propulsion.png
58;8;;harsh-stimulants.png
59;9;;lethal-injection.png
60;9;;chimeric-formula.png
61;1;;fire-orbs.png
62;1;;impaling-eruption.png
63;1;;reviving-ether.png
64;1;;freezing-nova.png
65;1;;mana-bolt.png
66;1;;frost-armor.png
67;1;;flame-strike.png
68;1;;ride-the-wind.png
69;X;;crackling-air.png
70;X;;hardened-spikes.png
71;X;;aid-from-the-ether.png
72;2;;flashing-burst.png
73;2;;icy-blast.png
74;3;;cold-fire.png
75;3;;elemental-aid.png
76;4;;spirit-of-doom.png
77;4;;forked-beam.png
78;5;;chromatic-explosion.png
79;5;;engulfed-in-flames.png
80;6;;living-torch.png
81;6;;frozen-night.png
82;7;;twin-restoration.png
83;7;;stone-fists.png
84;8;;zephyr-wings.png
85;8;;cold-front.png
86;9;;black-hole.png
87;9;;inferno.png
88;1;;single-out.png
89;1;;flanking-strike.png
90;1;;smoke-bomb.png
91;1;;backstab.png
92;1;;thiefs-knack.png
93;1;;venom-shiv.png
94;1;;throwing-knives.png
95;1;;quick-hands.png
96;1;;special-mixture.png
97;X;;sinister-opportunity.png
98;X;;tricksters-reversal.png
99;X;;swift-bow.png
100;2;;open-wound.png
101;2;;flintlock.png
102;3;;hidden-daggers.png
103;3;;duelists-advance.png
104;4;;flurry-of-blades.png
105;4;;gruesome-advantage.png
106;5;;cull-the-weak.png
107;5;;visage-of-the-inevitable.png
108;6;;crippling-poison.png
109;6;;burning-oil.png
110;7;;stick-to-the-shadows.png
111;7;;spring-the-trap.png
112;8;;stiletto-storm.png
113;8;;pains-end.png
114;9;;long-con.png
115;9;;watch-it-burn.png
116;1;Pendelschlag;opposing-strike.png
117;1;Zertrümmernder Griff;crushing-grasp.png
118;1;Lawine;avalanche.png
119;1;Grollender Vorstoß;rumbling-advance.png
120;1;Riesiger Felsen;massive-boulder.png
121;1;Ersatzmunition;backup-ammunition.png
122;1;Steintunnel;rock-tunnel.png
123;1;Instabiles Beben;unstable-upheaval.png
124;1;Krater;crater.png
125;1;Staubwirbel;dirt-tornado.png
126;1;Erdklumpen;earthen-clod.png
127;X;Umwerfender Schlag;heaving-swing.png
128;X;Mächtiger Sturm;forceful-storm.png
129;X;Erhebende Natur;natures-lift.png
130;2;Explosive Faust;explosive-punch.png
131;2;Bewusstes Wachstum;sentient-growth.png
132;3;Wegbereiter;clear-the-way.png
133;3;Stumpfe Gewalt;blunt-force.png
134;4;Bergrutsch;rock-slide.png
135;4;Kinetischer Angriff;kinetic-assault.png
136;5;Versteinern;petrify.png
137;5;Steinhagel;stone-pummel.png
138;6;Fallgrube;dig-pit.png
139;6;Kataklysmus;cataclysm.png
140;7;Meteor;meteor.png
141;7;Brutaler Schwung;brutal-momentum.png
142;8;Steinernes Ende;rocky-end.png
143;8;Schwerfälliger Schlag;lumbering-bash.png
144;9;Blinde Zerstörung;blind-destruction.png
145;9;Pulverisieren;pulverize.png
146;1;;submissive-affliction.png
147;1;;into-the-night.png
148;1;;fearsome-blade.png
149;1;;feedback-loop.png
150;1;;gnawing-horde.png
151;1;;the-minds-weakness.png
152;1;;parasitic-influence.png
153;1;;scurry.png
154;1;;perverse-edge.png
155;1;;empathetic-assault.png
156;X;;withering-claw.png
157;X;;possession.png
158;X;;frigid-apparition.png
159;2;;wretched-creature.png
160;2;;hostile-takeover.png
161;3;;brain-leech.png
162;3;;silent-scream.png
163;4;;pilfer.png
164;4;;cranium-overload.png
165;5;;mass-hysteria.png
166;5;;frozen-mind.png
167;6;;corrupting-embrace.png
168;6;;dark-frenzy.png
169;7;;vicious-blood.png
170;7;;psychic-projection.png
171;8;;shared-nightmare.png
172;8;;domination.png
173;9;;many-as-one.png
174;9;;phantasmal-killer.png

